SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
01063,THE BUTCHER 50g Jerky - Peppered,Meat,,,FALSE,TRUE,FALSE,1,
01070,THE BUTCHER 75g Jerky - Original,Meat,,CA,FALSE,FALSE,FALSE,10,60
01071,THE BUTCHER 75g Jerky - Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,10,60
01072,THE BUTCHER 75g Jerky - Hot 'N Sweet,Meat,,CA,FALSE,FALSE,FALSE,10,60
01073,THE BUTCHER 75g Jerky - Peppered,Meat,,CA,FALSE,FALSE,FALSE,10,60
01080,THE BUTCHER 150g Jerky - Original,Meat,,CA,FALSE,FALSE,FALSE,5,30
01081,THE BUTCHER 150g Jerky - Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,5,30
01082,THE BUTCHER 150g Jerky - Hot & Sweet,Meat,,CA,FALSE,FALSE,FALSE,5,30
01083,THE BUTCHER 150g Jerky - Peppered,Meat,,CA,FALSE,FALSE,FALSE,5,30
01091,THE BUTCHER 60g Classic Pepperoni & Cheddar Cheese Sticks,Meat,,CA,FALSE,FALSE,FALSE,,
01092,THE BUTCHER 60g Pepperoni & Monterey Jalapeno Cheese Sticks,Meat,,CA,FALSE,FALSE,FALSE,,
01093,THE BUTCHER 45g Pepperoni,Meat,,CA,FALSE,FALSE,FALSE,,
01094,THE BUTCHER 45g Salami,Meat,,CA,FALSE,FALSE,FALSE,,
01095,THE BUTCHER 45g Landjager,Meat,,CA,FALSE,FALSE,FALSE,,
01101,THE BUTCHER 75g Jerky - Honey Heat,Meat,,,FALSE,TRUE,FALSE,10,60
01102,THE BUTCHER 75g Jerky - Lemon Pepper,Meat,,,FALSE,TRUE,FALSE,10,60
01103,THE BUTCHER 75g Jerky - Dill Pickle,Meat,,,FALSE,TRUE,FALSE,10,60
01104,THE BUTCHER 75g Jerky - Garlic Ginger,Meat,,,FALSE,TRUE,FALSE,10,60
01105,THE BUTCHER 75g Jerky - Orange Honey Teriyaki,Meat,,,FALSE,TRUE,FALSE,10,60
01121,THE BUTCHER 150g Jerky - Honey Heat,Meat,,,FALSE,TRUE,FALSE,5,30
01122,THE BUTCHER 150g Jerky - Lemon Pepper,Meat,,,FALSE,TRUE,FALSE,5,30
01123,THE BUTCHER 150g Jerky - Dill Pickle,Meat,,,FALSE,TRUE,FALSE,5,30
01124,THE BUTCHER 150g Jerky - Garlic Ginger,Meat,,,FALSE,TRUE,FALSE,5,30
01125,THE BUTCHER 150g Jerky - Orange Honey Teriyaki,Meat,,,FALSE,TRUE,FALSE,5,30
01130,THE BUTCHER 75g Pork Jerky - Smoked Original,Meat,AB,CA,FALSE,FALSE,FALSE,,50
01131,THE BUTCHER 75g Pork Jerky - Teriyaki Pineapple,Meat,AB,CA,FALSE,FALSE,FALSE,,50
01132,THE BUTCHER 75g Pork Jerky - Hot 'N Sweet,Meat,AB,CA,FALSE,FALSE,FALSE,,50
01133,THE BUTCHER 75g Pork Jerky - BBQ Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,,50
01140,THE BUTCHER 175g Pork Jerky - Smoked Original,Meat,AB,CA,FALSE,FALSE,FALSE,,30
01141,THE BUTCHER 175g Pork Jerky - Teriyaki Pineapple,Meat,AB,CA,FALSE,FALSE,FALSE,,30
01142,THE BUTCHER 175g Pork Jerky - Hot 'N Sweet,Meat,AB,CA,FALSE,FALSE,FALSE,,30
01143,THE BUTCHER 175g Pork Jerky - BBQ Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,,30
01146,THE BUTCHER 125g Pork Jerky - Teriyaki Pineapple,Meat,,,FALSE,TRUE,FALSE,,20
01147,THE BUTCHER 125g Pork Jerky - BBQ Hickory,Meat,,,FALSE,TRUE,FALSE,,20
01220,ZAKS 13.3oz Slab Jerky 10 pc Bag - Original,Meat,,US,FALSE,FALSE,FALSE,,
01221,ZAKS 13.3oz Slab Jerky 10 pc Bag - Teriyaki,Meat,,US,FALSE,FALSE,FALSE,,
01223,ZAKS 7.9oz Slab Jerky 8pc Bag - Original,Meat,,US,FALSE,FALSE,FALSE,1,30
01224,ZAKS 7.9oz Slab Jerky 8pc Bag - Teriyaki,Meat,,US,FALSE,FALSE,FALSE,1,30
01251,THE BUTCHER 125g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01252,THE BUTCHER 125g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01253,THE BUTCHER 125g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01254,THE BUTCHER 125g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01256,KOKUM 125g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01257,KOKUM 125g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01258,KOKUM 125g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01259,KOKUM 125g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,50
01431,THE BUTCHER 43g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01432,THE BUTCHER 43g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01433,THE BUTCHER 43g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01434,THE BUTCHER 43g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01436,KOKUM 43g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01437,KOKUM 43g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01438,KOKUM 43g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01439,KOKUM 43g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,100
01631,THE BUTCHER 63g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01632,THE BUTCHER 63g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01633,THE BUTCHER 63g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01634,THE BUTCHER 63g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01636,KOKUM 63g Jerky - Original,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01637,KOKUM 63g Jerky - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01638,KOKUM 63g Jerky - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
01639,KOKUM 63g Jerky - Sweet 'N Heat,Meat,AB,CA,FALSE,FALSE,FALSE,10,80
03031,VOLT 4FT Select - Triple Tip,Tech,,,FALSE,FALSE,FALSE,10,100
03033,VOLT 6FT Studio - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
03034,VOLT 6FT Studio - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
03035,VOLT 6FT Studio - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
03036,VOLT 6FT Select - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
03037,VOLT 6FT Select - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
03038,VOLT 6FT Select - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
03040,VOLT 6FT Designer MFI - iPhone,Tech,,,FALSE,TRUE,FALSE,,
03043,VOLT Evolution Prime 6FT FC - iPhone,Tech,,,FALSE,FALSE,FALSE,5,100
03044,VOLT Evolution Prime 6FT FC - Type C,Tech,,,FALSE,FALSE,FALSE,5,100
03045,VOLT Evolution Prime 6FT - iPhone,Tech,,,FALSE,FALSE,FALSE,5,100
03046,VOLT Evolution Prime 6FT - Type C,Tech,,,FALSE,FALSE,FALSE,5,100
03050 - B,VOLT Evolution 6FT - Tuff 4 in 1 Blue,Tech,,,FALSE,FALSE,FALSE,5,100
03050 - G,VOLT Evolution 6FT - Tuff 4 in 1 Green,Tech,,,FALSE,FALSE,FALSE,5,100
03050 - R,VOLT Evolution 6FT - Tuff 4 in 1 Red,Tech,,,FALSE,FALSE,FALSE,5,100
03050 - Y,VOLT Evolution 6FT - Tuff 4 in 1 Yellow,Tech,,,FALSE,FALSE,FALSE,5,100
03051 - B,VOLT Evolution 10FT - Tuff 4 in 1 Blue,Tech,,,FALSE,FALSE,FALSE,5,100
03051 - G,VOLT Evolution 10FT - Tuff 4 in 1 Green,Tech,,,FALSE,FALSE,FALSE,5,100
03051 - R,VOLT Evolution 10FT - Tuff 4 in 1 Red,Tech,,,FALSE,FALSE,FALSE,5,100
03051 - Y,VOLT Evolution 10FT - Tuff 4 in 1 Yellow,Tech,,,FALSE,FALSE,FALSE,5,100
03053 - B,VOLT Evolution 4FT - Tuff 4 in 1 Blue,Tech,,,FALSE,FALSE,FALSE,5,100
03053 - G,VOLT Evolution 4FT - Tuff 4 in 1 Green,Tech,,,FALSE,FALSE,FALSE,5,100
03053 - R,VOLT Evolution 4FT - Tuff 4 in 1 Red,Tech,,,FALSE,FALSE,FALSE,5,100
03053 - Y,VOLT Evolution 4FT - Tuff 4 in 1 Yellow,Tech,,,FALSE,FALSE,FALSE,5,100
03059,VOLT Evolution 10FT - All in One,Tech,,,FALSE,FALSE,FALSE,10,100
06406,TECH361 6FT Standard - Type C,Tech,,,FALSE,FALSE,FALSE,24,144
06422,TECH361 6FT Braided - iPhone,Tech,,,FALSE,FALSE,FALSE,12,144
06427,TECH361 6FT Braided - Micro USB,Tech,,,FALSE,FALSE,FALSE,12,144
06449,TECH361 6FT Standard - Micro USB,Tech,,,FALSE,FALSE,FALSE,24,144
06457,TECH361 6FT Standard - iPhone,Tech,,,FALSE,FALSE,FALSE,24,144
06488,TECH361 Car Charger - Double USB (2A),Tech,,,FALSE,FALSE,FALSE,6,144
06493,TECH361 Wall Charger - Double USB (2A),Tech,,,FALSE,FALSE,FALSE,12,144
10100,"BONES - White Rawhide Roll (4""-5"")",Pet,,,FALSE,TRUE,FALSE,10,100
10101,BONES - White Retriever Roll,Pet,,,FALSE,FALSE,FALSE,10,100
10102,BONES - White Rawhide Donut,Pet,,,FALSE,FALSE,FALSE,10,100
10103,BONES - Peanut Butter Retriever Roll,Pet,,,FALSE,FALSE,FALSE,10,100
10104,BONES - Vanilla Retriever Roll,Pet,,,FALSE,FALSE,FALSE,10,100
10105,BONES - Vanilla Knotted,Pet,,,FALSE,TRUE,FALSE,10,100
10106,BONES - Peanut Butter Knotted,Pet,,,FALSE,FALSE,FALSE,10,100
10107,BONES - Peanut Butter Donut,Pet,,,FALSE,FALSE,FALSE,10,100
10108,"BONES - 6"" Beef Trachea",Pet,,,FALSE,FALSE,FALSE,20,200
10109,BONES - Peanut Butter Dog Biscuits,Pet,,,FALSE,FALSE,FALSE,10,100
