Customer ID,SKU,Quantity,Rate,Comment,Location,Internal Memo,PO Number
"876","Kit - 93140","5","","","Zaks - Main Warehouse YYC","",""
"876","Kit - 91016","1","","","Zaks - Main Warehouse YYC","",""
"876","Kit - 52550","1","","","Zaks - Main Warehouse YYC","",""
