Customer ID,SKU,Quantity,Rate,Comment,Location,Internal Memo,PO Number
1123,Kit - 91016,1,,,Zaks - Main Warehouse YYC,Please ship directly to store,PO 4700 
1123,Kit - 93140,1,,,Zaks - Main Warehouse YYC,Please ship directly to store,PO 4700 
