Customer ID,SKU,Quantity,Rate,Comment,Location
"875","91021","24","","","Lion - Warehouse YYC"
"875","Kit - 93100","1","","","Zaks - Main Warehouse YYC"
"875","Kit - 93140","4","","","Zaks - Main Warehouse YYC"
